New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
132,,,3/14/2021,11800 ,34940 ,119310 ,25560 ,35310 ,29530 ,48960 ,77760 ,14580 ,14280 ,41203 
133,89,Mar,15/03/2021,11800 ,34900 ,119350 ,25450 ,35350 ,29650 ,49400 ,77900 ,14600 ,14300 ,41270 
134,90,,16/03/2021,11800 ,34850 ,119200 ,25400 ,35350 ,29600 ,49300 ,78550 ,14600 ,14300 ,41295 
135,91,,17/03/2021,11800 ,34950 ,119200 ,25300 ,35350 ,29700 ,49350 ,78650 ,14650 ,14300 ,41325 
136,92,,18/03/2021,11850 ,34900 ,119200 ,25250 ,35250 ,29700 ,49300 ,78950 ,14650 ,14300 ,41335 
137,93,,19/03/2021,11800 ,34950 ,119200 ,25300 ,35400 ,29800 ,49200 ,79100 ,14650 ,14300 ,41370 
138,,,3/20/2021,11810 ,34840 ,119240 ,25200 ,35260 ,29700 ,49080 ,79050 ,14680 ,14300 ,41316 
139,,,3/21/2021,11810 ,34840 ,119240 ,25200 ,35260 ,29700 ,49080 ,79050 ,14680 ,14300 ,41316 
140,94,,22/03/2021,11800 ,34800 ,119250 ,25150 ,35300 ,29700 ,48900 ,79100 ,14700 ,14300 ,41300 
141,95,,23/03/2021,11800 ,34700 ,119300 ,25100 ,35100 ,29600 ,48900 ,79050 ,14700 ,14300 ,41255 
142,96,,24/03/2021,11800 ,34650 ,119300 ,25100 ,35100 ,29700 ,49300 ,78250 ,14700 ,14250 ,41215 
143,97,,25/03/2021,11800 ,34500 ,119300 ,25000 ,35000 ,29700 ,49500 ,77900 ,14700 ,14250 ,41165 
144,98,,26/03/2021,11800 ,34400 ,119300 ,24950 ,34900 ,29750 ,49950 ,77450 ,14700 ,14300 ,41150 
145,,,3/27/2021,11800 ,34440 ,119310 ,24830 ,34810 ,29800 ,49930 ,76700 ,14700 ,14290 ,41061 
146,,,3/28/2021,11800 ,34440 ,119310 ,24830 ,34810 ,29800 ,49930 ,76700 ,14700 ,14290 ,41061 
147,99,,29/03/2021,11800 ,34400 ,119350 ,24700 ,34700 ,29800 ,50200 ,76300 ,14700 ,14300 ,41025 
148,100,,30/03/2021,11800 ,34450 ,119300 ,24650 ,34650 ,29950 ,50050 ,75150 ,14700 ,14300 ,40900 
149,101,,31/03/2021,11800 ,34550 ,119550 ,24600 ,34550 ,29900 ,50200 ,73900 ,14700 ,14300 ,40805 
150,102,,01/04/2021,11800 ,34750 ,119650 ,24700 ,34400 ,29900 ,50100 ,73250 ,14750 ,14250 ,40755 
151,,,4/2/2021,11800,35100,119580,24780,34270,29960,50490,72990,14740,14270,40798 
152,,,4/3/2021,11800 ,35100 ,119580 ,24780 ,34270 ,29960 ,50490 ,72990 ,14740 ,14270 ,40798 
153,,,4/4/2021,11800 ,35100 ,119580 ,24780 ,34270 ,29960 ,50490 ,72990 ,14740 ,14270 ,40798 
154,103,,05/04/2021,11800 ,35350 ,119650 ,24800 ,34050 ,30000 ,50950 ,72000 ,14750 ,14250 ,40760 
155,104,,06/04/2021,11800 ,35550 ,119650 ,24850 ,34050 ,30000 ,51000 ,72250 ,14750 ,14250 ,40815 
156,105,,07/04/2021,11800 ,35950 ,119650 ,25050 ,33900 ,30000 ,50650 ,71400 ,14800 ,14250 ,40745 
157,106,,08/04/2021,11800 ,36250 ,119750 ,25200 ,33850 ,29950 ,50750 ,70800 ,14800 ,14250 ,40740 
158,107,,09/04/2021,11800 ,36500 ,120150 ,25300 ,33850 ,30000 ,50400 ,71200 ,14800 ,14250 ,40825 
159,,,4/10/2021,11800 ,37050 ,121490 ,25560 ,34040 ,30060 ,51390 ,70540 ,14800 ,14250 ,41098 
160,,,4/11/2021,11800 ,37050 ,121490 ,25560 ,34040 ,30060 ,51390 ,70540 ,14800 ,14250 ,41098 
